review_id,sent_nb,reviee_sent,price_pattern_label,price_human_label,packaging_pattern_label,packaging_human_label,color_pattern_label,color_human_label,pigmented_pattern_label,pigmented_human_label,staying_power_pattern_label,staying_power_human_label,moist_pattern_label,moist_human_label,aroma_pattern_label,aroma_human_label
1450,3,dipulas beberapa kali juga tidak membawa perbedaan signifikan.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,neg,unknown,unknown,unknown,unknown,unknown,unknown
1450,4,"produk ini tidak bikin bibir kering, sih, di saya.",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pos,pos,unknown,unknown
1450,5,saat dipakai juga tidak ada bau atau rasa tertentu yang bisa bikin ilfeel :d,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pos
2209,7,"mulai dari packagingnya yg slim dan good looking, sampai teksturnya yg balmy pas di apply ke bibir.",unknown,unknown,unknown,pos,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2209,9,"ngelembabin bibir untuk 2 jam pertama, habis itu bikin bibirku kering :( jadinya so so aja deh di aku huhu",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,neg,neg,unknown,unknown
6691,1,(+) so pigmented!,unknown,unknown,unknown,unknown,unknown,unknown,pos,pos,pos,unknown,unknown,unknown,unknown,unknown
6691,3,tidak membuat bibir kering dan sangat ringan ketika diaplikasikan.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pos,pos,unknown,unknown
6691,5,dan yang paling penting it's so cheap!,unknown,pos,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
6691,6,"(-) cetakan logo dan nama di packaging gampang sekali hilang, sehingga membuat packaging kurang menarik.",unknown,unknown,unknown,neg,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
6691,7,smeels like candle.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,neg
65856,2,pas di pake kalu menurut aku dia bikin bibir aku kering banget kayak ketarik gitu.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,neg,neg,unknown,unknown
